Accession,Organism_Name,GenBank_RefSeq,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,USA,Host,Tissue_Specimen_Source,Collection_Date
KC762681.1,Dengue virus 3,GenBank,set:KC762681,"Sasmono,R.T., Wahid,I., Trimarsanto,H., Yohan,B., Wahyuni,S., Hertanto,M., Yusuf,I., Mubin,H., Ganda,I.J., Latief,R., Bifani,P.J., Shi,P.Y., Schreiber,M.J., Sasmono,T., Bifani,P., Shi,P.-Y.",Eijkman Institute for Molecular Biology,Indonesia,2015-01-17,MKS-0057,Orthoflavivirus denguei,10707,complete,Indonesia: Makassar,,Homo sapiens,blood,2007-06-22
KP209319.1,Influenza A virus (A/Eslam Abad/71015/2013(H3N2)),GenBank,set:b20fe2228d85fd65484d4986bf6fec416cb0c3a8,"Mokhtari Azad,T., Rezaei,F., Shafiei Jandaghi,N.Z., Rogo,L.D., Meysami,P., Ghavami,N., Naseri,M.","School of Public Health, Tehran University of Medical Sciences, Virology Department",Iran,2015-01-07,,Alphainfluenzavirus influenzae,838,complete,Iran,,Homo sapiens,,2013-12-29
KP209320.1,Influenza A virus (A/Tehran/77254/2014(H3N2)),GenBank,set:f72d806bf40c0c677781179c376ab907d3dcb59a,"Mokhtari Azad,T., Rezaei,F., Shafiei Jandaghi,N.Z., Rogo,L.D., Meysami,P., Ghavami,N., Naseri,M.","School of Public Health, Tehran University of Medical Sciences, Virology Department",Iran,2015-01-07,,Alphainfluenzavirus influenzae,838,complete,Iran,,Homo sapiens,,2014-01-26
KM597161.1,Choclo virus,GenBank,set:b964caa68a7126323d5f91f7637741098552ad86,"Atkinson,B., Lumley,S., Latham,J., Jameson,L.J., Hewson,R.","Health Protection Agency, Research",,2014-12-23,,Orthohantavirus chocloense,1971,complete,Panama,,Homo sapiens,blood,2014-07-19
KM392287.1,Human cyclovirus VN-like,GenBank,set:KM392287,"Garigliany,M., Hagen,R.M., Frickmann,H., May,J., Schwarz,N.G., Perse,A., Joest,H., Boerstler,J., Shahhosseini,N., Desmecht,D., Mbunkah,H.A., Daniel,A.M., Kingsley,M.T., Campos,Rd.M., de Paula,V.S., Randriamampionona,N., Poppert,S., Tannich,E., Rakotozandrindrainy,R., Cadar,D., Schmidt-Chanasit,J.","Bernhard-Nocht-Institut fur Tropenmedizin, Arbovirology",Germany,2014-12-14,,Cyclovirus nhanloai,1856,complete,Madagascar,,Homo sapiens,feces,2012
KP126913.1,Influenza A virus (A/Gainesville/05/2014(H3N2)),GenBank,set:913e0329becb6af91d8c4ec5368dec8233d0971f,"Lednicky,J.A., Rand,K.H., Morris,J.G. Jr., Iovine,N.M., Loeb,J.C.","University of Florida - Gainesville, Environmental and Global Health",USA,2014-12-13,,Alphainfluenzavirus influenzae,982,complete,USA,,Homo sapiens,oronasopharynx,2014-11-02
KP126914.1,Influenza A virus (A/Gainesville/06/2014(H3N2)),GenBank,set:e04325fe0cb3e4a8e96bd6b273c87c9bdd46dad1,"Lednicky,J.A., Rand,K.H., Morris,J.G. Jr., Iovine,N.M., Loeb,J.C.","University of Florida - Gainesville, Environmental and Global Health",USA,2014-12-13,,Alphainfluenzavirus influenzae,982,complete,USA,,Homo sapiens,oronasopharynx,2014-11-02
KP126915.1,Influenza A virus (A/Gainesville/07/2014(H3N2)),GenBank,set:ed9f8cd71ef2ceae0a577c952de23133ecf6c8c6,"Lednicky,J.A., Rand,K.H., Morris,J.G. Jr., Iovine,N.M., Loeb,J.C.","University of Florida - Gainesville, Environmental and Global Health",USA,2014-12-13,,Alphainfluenzavirus influenzae,982,complete,USA,,Homo sapiens,oronasopharynx,2014-11-02
KP126916.1,Influenza A virus (A/Gainesville/08/2014(H3N2)),GenBank,set:6c890965f9574d4e63e98f734b436df5d44300ac,"Lednicky,J.A., Rand,K.H., Morris,J.G. Jr., Iovine,N.M., Loeb,J.C.","University of Florida - Gainesville, Environmental and Global Health",USA,2014-12-13,,Alphainfluenzavirus influenzae,982,complete,USA,,Homo sapiens,oronasopharynx,2014-11-03
KP126917.1,Influenza A virus (A/Gainesville/09/2014(H3N2)),GenBank,set:1f61b4ca16d72be1dc6da141b55293a10a1563a6,"Lednicky,J.A., Rand,K.H., Morris,J.G. Jr., Iovine,N.M., Loeb,J.C.","University of Florida - Gainesville, Environmental and Global Health",USA,2014-12-13,,Alphainfluenzavirus influenzae,982,complete,USA,,Homo sapiens,"lung, oronasopharynx",2014-11-04
AB979448.1,Baboon endogenous virus strain M7,GenBank,set:AB979448,"Yoshikawa,R., Miyaho,R.N., Hashimoto,A., Abe,M., Yasuda,J., Miyazawa,T.","Kyoto University, Department of Cell Biology, Laboratory of Signal Transduction; 53 Shogoin-Kawaharacho, Kyoto, Kyoto 606-8507",Japan,2014-12-05,,Baboon endogenous virus,8507,complete,,,Homo sapiens,,
KP067331.1,Influenza B virus (B/Auckland/01/2000),GenBank,set:f10f1394923018d654598e00f1f1c2e612ce1b64,"Lugovtsev,V.Y., Melnyk,D., Weir,J.P.","Center for Biologics Evaluation and Research / Food and Drug Administration, Division of Viral Products/Office of Vaccines Research and Review",USA,2014-11-23,,Betainfluenzavirus influenzae,1510,complete,New Zealand,,Homo sapiens,,2000
KP067332.1,Influenza B virus (B/Sichuan/15/1991),GenBank,set:7c802920a35cdb458ca1e538bf7e073b3051945f,"Lugovtsev,V.Y., Melnyk,D., Weir,J.P.","Center for Biologics Evaluation and Research / Food and Drug Administration, Division of Viral Products/Office of Vaccines Research and Review",USA,2014-11-23,,Betainfluenzavirus influenzae,1510,complete,China,,Homo sapiens,,1991
KP067333.1,Influenza B virus (B/Beijing/1/1994),GenBank,set:fd03222ad2c387bcf5235ce7da0ffb01401c53f4,"Lugovtsev,V.Y., Melnyk,D., Weir,J.P.","Center for Biologics Evaluation and Research / Food and Drug Administration, Division of Viral Products/Office of Vaccines Research and Review",USA,2014-11-23,,Betainfluenzavirus influenzae,1510,complete,China,,Homo sapiens,,1994
KP067334.1,Influenza B virus (B/South Australia/5/1999),GenBank,set:6672455cc59ec5dea20f3b9c7e9b2f258191feaf,"Lugovtsev,V.Y., Melnyk,D., Weir,J.P.","Center for Biologics Evaluation and Research / Food and Drug Administration, Division of Viral Products/Office of Vaccines Research and Review",USA,2014-11-23,,Betainfluenzavirus influenzae,1510,complete,Australia,,Homo sapiens,,1999
KP067335.1,Influenza B virus (B/Beijing/6/1994),GenBank,set:1a0027cd580abbc91943d4b2ba5ce5db100e23f8,"Lugovtsev,V.Y., Melnyk,D., Weir,J.P.","Center for Biologics Evaluation and Research / Food and Drug Administration, Division of Viral Products/Office of Vaccines Research and Review",USA,2014-11-23,,Betainfluenzavirus influenzae,1510,complete,China,,Homo sapiens,,1994
KP067336.1,Influenza B virus (B/Shanghai/4/1994),GenBank,set:d001d1144487f833782716bb3c134c95d8118a23,"Lugovtsev,V.Y., Melnyk,D., Weir,J.P.","Center for Biologics Evaluation and Research / Food and Drug Administration, Division of Viral Products/Office of Vaccines Research and Review",USA,2014-11-23,,Betainfluenzavirus influenzae,1510,complete,China,,Homo sapiens,,1994
KP067337.1,Influenza B virus (B/Ulan Ude/6/2003),GenBank,set:9344e5fc6b8713526602131c5f4624db7e4f4554,"Lugovtsev,V.Y., Melnyk,D., Weir,J.P.","Center for Biologics Evaluation and Research / Food and Drug Administration, Division of Viral Products/Office of Vaccines Research and Review",USA,2014-11-23,,Betainfluenzavirus influenzae,1510,complete,Russia,,Homo sapiens,,2003
KP067338.1,Influenza B virus (B/Fujian/203/2003),GenBank,set:47b8847f790bb227f25ddbbd332b740d603dbf73,"Lugovtsev,V.Y., Melnyk,D., Weir,J.P.","Center for Biologics Evaluation and Research / Food and Drug Administration, Division of Viral Products/Office of Vaccines Research and Review",USA,2014-11-23,,Betainfluenzavirus influenzae,1510,complete,China,,Homo sapiens,,2003
KM985428.1,Influenza A virus (A/Malappuram/MCVR2376/2009(H1N1)),GenBank,set:01c9d8266c393da01c5c7efc266b26ee632e609d,"Anitha,J., Arunkumar,G., Ajees,A.","Manipal University, Manipal Centre for Virus Research",India,2014-11-12,,Alphainfluenzavirus influenzae,1410,complete,India,,Homo sapiens,oronasopharynx,2009-12-14
KM985429.1,Influenza A virus (A/Ernakulam/MCVR5015/2010(H1N1)),GenBank,set:93009065ee254bfa20d2b874607efbcb1317bd28,"Anitha,J., Arunkumar,G., Ajees,A.","Manipal University, Manipal Centre for Virus Research",India,2014-11-12,,Alphainfluenzavirus influenzae,1410,complete,India,,Homo sapiens,oronasopharynx,2010-07-21
KM985430.1,Influenza A virus (A/Calicut/MCVR6194/2010(H1N1)),GenBank,set:b6c1c4086c685949ae0c82ea3b56ee3fbc70c214,"Anitha,J., Arunkumar,G., Ajees,A.","Manipal University, Manipal Centre for Virus Research",India,2014-11-12,,Alphainfluenzavirus influenzae,1410,complete,India,,Homo sapiens,oronasopharynx,2010-10-20
KM985431.1,Influenza A virus (A/Calicut/MCVR9427/2012(H1N1)),GenBank,set:a303901b06faa2f5f1bf31f12d5854d24695fd52,"Anitha,J., Arunkumar,G., Ajees,A.","Manipal University, Manipal Centre for Virus Research",India,2014-11-12,,Alphainfluenzavirus influenzae,1410,complete,India,,Homo sapiens,oronasopharynx,2012-11-06
KM985432.1,Influenza A virus (A/Trivandrum/MCVR2613/2010(H1N1)),GenBank,set:431e7b7352de736c26c6e8632527490aec9994d8,"Anitha,J., Arunkumar,G., Ajees,A.","Manipal University, Manipal Centre for Virus Research",India,2014-11-12,,Alphainfluenzavirus influenzae,1410,complete,India,,Homo sapiens,oronasopharynx,2010-01-02
KM985433.1,Influenza A virus (A/Kottayam/MCVR6946/2011(H1N1)),GenBank,set:652a96c2005b65b9d65e7d784772720da741789c,"Anitha,J., Arunkumar,G., Ajees,A.","Manipal University, Manipal Centre for Virus Research",India,2014-11-12,,Alphainfluenzavirus influenzae,1410,complete,India,,Homo sapiens,oronasopharynx,2011-06-20
KM985434.1,Influenza A virus (A/Trivandrum/MCVR7887/2011(H1N1)),GenBank,set:261ee962eafabda890a833ec148db76fbe8af0cd,"Anitha,J., Arunkumar,G., Ajees,A.","Manipal University, Manipal Centre for Virus Research",India,2014-11-12,,Alphainfluenzavirus influenzae,1410,complete,India,,Homo sapiens,oronasopharynx,2011-08-20
KM985435.1,Influenza A virus (A/Kannur/MCVR8120/2011(H1N1)),GenBank,set:febe81e8bbff3944182520fa3eedf1bb750f526d,"Anitha,J., Arunkumar,G., Ajees,A.","Manipal University, Manipal Centre for Virus Research",India,2014-11-12,,Alphainfluenzavirus influenzae,1410,complete,India,,Homo sapiens,oronasopharynx,2011-09-06
KM985436.1,Influenza A virus (A/Udupi/MCVR9773/2012(H1N1)),GenBank,set:1198b4d0ac07300e36f0f801e76b1557e3d5180e,"Anitha,J., Arunkumar,G., Ajees,A.","Manipal University, Manipal Centre for Virus Research",India,2014-11-12,,Alphainfluenzavirus influenzae,1410,complete,India,,Homo sapiens,oronasopharynx,2012-06-28
KM985437.1,Influenza A virus (A/Thrissur/MCVR688/2009(H1N1)),GenBank,set:4e9ef9f57dbb9382f445e561789d57d0a339ad17,"Anitha,J., Arunkumar,G., Ajees,A.","Manipal University, Manipal Centre for Virus Research",India,2014-11-12,,Alphainfluenzavirus influenzae,1410,complete,India,,Homo sapiens,oronasopharynx,2009-01-12
KM985438.1,Influenza A virus (A/Udupi/MCVR2844/2010(H1N1)),GenBank,set:4bcc0e1c086fa7023b01a4d5f77c5cdade4d7e40,"Anitha,J., Arunkumar,G., Ajees,A.","Manipal University, Manipal Centre for Virus Research",India,2014-11-12,,Alphainfluenzavirus influenzae,1410,complete,India,,Homo sapiens,oronasopharynx,2010-07-03
KM985439.1,Influenza A virus (A/Malappuram/MCVR3702/2010(H1N1)),GenBank,set:e84b4a1f658ab324692964a1d78d37c46503e7c2,"Anitha,J., Arunkumar,G., Ajees,A.","Manipal University, Manipal Centre for Virus Research",India,2014-11-12,,Alphainfluenzavirus influenzae,1410,complete,India,,Homo sapiens,oronasopharynx,2010-06-25
KM985440.1,Influenza A virus (A/Udupi/MCVR7048/2011(H1N1)),GenBank,set:73db4b136e792289e4b7891cb9d2f034b7b27cea,"Anitha,J., Arunkumar,G., Ajees,A.","Manipal University, Manipal Centre for Virus Research",India,2014-11-12,,Alphainfluenzavirus influenzae,1410,complete,India,,Homo sapiens,oronasopharynx,2011-06-28
KM985441.1,Influenza A virus (A/Calicut/MCVR8470/2011(H1N1)),GenBank,set:74de07ae09eb13b844831b2306dca7946e2e5dba,"Anitha,J., Arunkumar,G., Ajees,A.","Manipal University, Manipal Centre for Virus Research",India,2014-11-12,,Alphainfluenzavirus influenzae,1410,complete,India,,Homo sapiens,oronasopharynx,2011-03-12
KM985442.1,Influenza A virus (A/Udupi/MCVR8871/2012(H1N1)),GenBank,set:fc9959d04bc2f63b404dd63a5e30cc3948955350,"Anitha,J., Arunkumar,G., Ajees,A.","Manipal University, Manipal Centre for Virus Research",India,2014-11-12,,Alphainfluenzavirus influenzae,1410,complete,India,,Homo sapiens,oronasopharynx,2012-03-04
KM985443.1,Influenza A virus (A/Thrissur/MCVR1400/2009(H1N1)),GenBank,set:b29f317cf80eca7f5d08dc5e82e1be2d0d9cbbf4,"Anitha,J., Arunkumar,G., Ajees,A.","Manipal University, Manipal Centre for Virus Research",India,2014-11-12,,Alphainfluenzavirus influenzae,1410,complete,India,,Homo sapiens,oronasopharynx,2009-10-30
KM985444.1,Influenza A virus (A/Thrissur/MCVR1402/2009(H1N1)),GenBank,set:ccabb3aee52bc083f165410a750f3647dc1019b9,"Anitha,J., Arunkumar,G., Ajees,A.","Manipal University, Manipal Centre for Virus Research",India,2014-11-12,,Alphainfluenzavirus influenzae,1410,complete,India,,Homo sapiens,oronasopharynx,2009-10-30
KM985445.1,Influenza A virus (A/Malappuram/MCVR1497/2009(H1N1)),GenBank,set:280cfc19a6e34546ca81003e97479be5163808c1,"Anitha,J., Arunkumar,G., Ajees,A.","Manipal University, Manipal Centre for Virus Research",India,2014-11-12,,Alphainfluenzavirus influenzae,1410,complete,India,,Homo sapiens,oronasopharynx,2009-02-11
KM272334.1,Norovirus Hu/GII.4/gg-12-08-04/2012/KR,GenBank,set:KM272334,"Park,J.S., Lee,S.G., Jin,J.Y., Cho,H.G., Jheong,W.H., Paik,S.Y., Kim,J.E.","Catholic University of Korea, Biomedical Science",South Korea,2014-11-08,,Norwalk virus,7558,complete,South Korea,,Homo sapiens,feces,2012-08-04
KM885027.1,Influenza A virus (A/Indore/59/2009(H1N1)),GenBank,set:b0dd2937a4889f3e75c44e6286125229d028ff6f,"Barde,P.V., Sahu,M., Shukla,M.K., Kori,B.K., Sharma,R.K., Singh,N.","RMRCT, Jabalpur, Virology",India,2014-11-01,,Alphainfluenzavirus influenzae,1701,complete,India,,Homo sapiens,,2009-12-16
KM885028.1,Influenza A virus (A/Khargone/293/2010(H1N1)),GenBank,set:59dccc5f55317db8a91ea357bfb887302dfdd62c,"Barde,P.V., Sahu,M., Shukla,M.K., Kori,B.K., Sharma,R.K., Singh,N.","RMRCT, Jabalpur, Virology",India,2014-11-01,,Alphainfluenzavirus influenzae,1701,complete,India,,Homo sapiens,,2010-01-21
KM885029.1,Influenza A virus (A/Jabalpur/543/2010(H1N1)),GenBank,set:e12fcc95426d9e5370e8ea40373caf69f686d462,"Barde,P.V., Sahu,M., Shukla,M.K., Kori,B.K., Sharma,R.K., Singh,N.","RMRCT, Jabalpur, Virology",India,2014-11-01,,Alphainfluenzavirus influenzae,1701,complete,India,,Homo sapiens,,2010-08-09
KM885030.1,Influenza A virus (A/Bhopal/1613/2011(H1N1)),GenBank,set:4a92bc2ef9c7b23f2e4ce21c8b38bed9ac8b35d8,"Barde,P.V., Sahu,M., Shukla,M.K., Kori,B.K., Sharma,R.K., Singh,N.","RMRCT, Jabalpur, Virology",India,2014-11-01,,Alphainfluenzavirus influenzae,1701,complete,India,,Homo sapiens,,2011-04-19
KM885031.1,Influenza A virus (A/Bhopal/1697/2012(H1N1)),GenBank,set:25056355bd77a54090521e9069606ed9a223b91c,"Barde,P.V., Sahu,M., Shukla,M.K., Kori,B.K., Sharma,R.K., Singh,N.","RMRCT, Jabalpur, Virology",India,2014-11-01,,Alphainfluenzavirus influenzae,1701,complete,India,,Homo sapiens,,2012-03-26
KM885032.1,Influenza A virus (A/Harda/1718/2012(H1N1)),GenBank,set:6b550a2a40a5901aefe309f442afbc7f87dcb513,"Barde,P.V., Sahu,M., Shukla,M.K., Kori,B.K., Sharma,R.K., Singh,N.","RMRCT, Jabalpur, Virology",India,2014-11-01,,Alphainfluenzavirus influenzae,1701,complete,India,,Homo sapiens,,2012-04-28
KM885033.1,Influenza A virus (A/Jabalpur/1737/2012(H1N1)),GenBank,set:d4eeb4708690c2e2af867b68d430666df00ecbe1,"Barde,P.V., Sahu,M., Shukla,M.K., Kori,B.K., Sharma,R.K., Singh,N.","RMRCT, Jabalpur, Virology",India,2014-11-01,,Alphainfluenzavirus influenzae,1701,complete,India,,Homo sapiens,,2012-07-13
KM885034.1,Influenza A virus (A/Jabalpur/1758/2012(H1N1)),GenBank,set:ce7cec43a7905b0d4288ca08f4f7ad24c849a42d,"Barde,P.V., Sahu,M., Shukla,M.K., Kori,B.K., Sharma,R.K., Singh,N.","RMRCT, Jabalpur, Virology",India,2014-11-01,,Alphainfluenzavirus influenzae,1701,complete,India,,Homo sapiens,,2012-08-16
KM885035.1,Influenza A virus (A/Indore/2820/2013(H1N1)),GenBank,set:76804d006bda734d0e84589b4dc6c167290cac21,"Barde,P.V., Sahu,M., Shukla,M.K., Kori,B.K., Sharma,R.K., Singh,N.","RMRCT, Jabalpur, Virology",India,2014-11-01,,Alphainfluenzavirus influenzae,1701,complete,India,,Homo sapiens,,2013-03-29
KM885036.1,Influenza A virus (A/Itarsi/2934/2013(H1N1)),GenBank,set:33448a8238ebe0651b0041d823758fbaf6645b01,"Barde,P.V., Sahu,M., Shukla,M.K., Kori,B.K., Sharma,R.K., Singh,N.","RMRCT, Jabalpur, Virology",India,2014-11-01,,Alphainfluenzavirus influenzae,1701,complete,India,,Homo sapiens,,2013-05-15
KM607860.1,Influenza A virus (A/Shanghai/6109T/2014(H1N1)),GenBank,set:cf1ad1817cdd83b67bd1bce95646b026d6a9d060,"Zhu,D., Tian,D., Xu,L., Zhu,Z., Teng,Z., Shan,S., He,J., Liu,Y., Wang,W., Yuan,Z., Ren,T., Hu,Y.","Shanghai Public Health Clinical Center Affiliated to Fudan University, Pathogen Diagnosis and Biosafety Department",China,2014-10-26,,Alphainfluenzavirus influenzae,1701,complete,China,,Homo sapiens,,2014-01-10
KJ734739.1,Influenza A virus (A/Ontario/C3798-1/2012(H3N2)),GenBank,set:2b40a615280fa394164614d94c254e3ffc19c280,"Eshaghi,A., Shalhoub,S., Rosenfeld,P., Li,A., Higgins,R.R., Stogios,P.J., Savchenko,A., Bastien,N., Li,Y., Rotstein,C., Gubbay,J.B.","Ontario Agency for Health Protection and Promotion, Molecular Research",Canada,2014-10-02,,Alphainfluenzavirus influenzae,1701,complete,Canada: Ontario,,Homo sapiens,,2012-12-18
KJ734740.1,Influenza A virus (A/Ontario/C9969-2/2013(H3N2)),GenBank,set:7de8adf02005e708dbb60e830d9aba7219b1310f,"Eshaghi,A., Shalhoub,S., Rosenfeld,P., Li,A., Higgins,R.R., Stogios,P.J., Savchenko,A., Bastien,N., Li,Y., Rotstein,C., Gubbay,J.B.","Ontario Agency for Health Protection and Promotion, Molecular Research",Canada,2014-10-02,,Alphainfluenzavirus influenzae,1701,complete,Canada: Ontario,,Homo sapiens,,2013-01-02
KJ734741.1,Influenza A virus (A/Ontario/C0982-3/2013(H3N2)),GenBank,set:2627fe0e0eda1ff6952389c157463299d6c70308,"Eshaghi,A., Shalhoub,S., Rosenfeld,P., Li,A., Higgins,R.R., Stogios,P.J., Savchenko,A., Bastien,N., Li,Y., Rotstein,C., Gubbay,J.B.","Ontario Agency for Health Protection and Promotion, Molecular Research",Canada,2014-10-02,,Alphainfluenzavirus influenzae,1701,complete,Canada: Ontario,,Homo sapiens,,2013-01-14
KJ734742.1,Influenza A virus (A/Ontario/C0587-4/2013(H3N2)),GenBank,set:8794c03652c2b145bdc1b8e4572f8db56f6081f7,"Eshaghi,A., Shalhoub,S., Rosenfeld,P., Li,A., Higgins,R.R., Stogios,P.J., Savchenko,A., Bastien,N., Li,Y., Rotstein,C., Gubbay,J.B.","Ontario Agency for Health Protection and Promotion, Molecular Research",Canada,2014-10-02,,Alphainfluenzavirus influenzae,1701,complete,Canada: Ontario,,Homo sapiens,,2013-01-20
KJ734743.1,Influenza A virus (A/Ontario/C8073-5/2013(H3N2)),GenBank,set:c5eab7a9790fc531e0689c04bcdf15ca9e32ba92,"Eshaghi,A., Shalhoub,S., Rosenfeld,P., Li,A., Higgins,R.R., Stogios,P.J., Savchenko,A., Bastien,N., Li,Y., Rotstein,C., Gubbay,J.B.","Ontario Agency for Health Protection and Promotion, Molecular Research",Canada,2014-10-02,,Alphainfluenzavirus influenzae,1701,complete,Canada: Ontario,,Homo sapiens,,2013-01-31
KJ734744.1,Influenza A virus (A/Ontario/C5314-6/2013(H3N2)),GenBank,set:367b1a2a53ac98db13248c216a7961366366a00e,"Eshaghi,A., Shalhoub,S., Rosenfeld,P., Li,A., Higgins,R.R., Stogios,P.J., Savchenko,A., Bastien,N., Li,Y., Rotstein,C., Gubbay,J.B.","Ontario Agency for Health Protection and Promotion, Molecular Research",Canada,2014-10-02,,Alphainfluenzavirus influenzae,1701,complete,Canada: Ontario,,Homo sapiens,,2013-02-07
KJ734745.1,Influenza A virus (A/Ontario/C3849-7/2013(H3N2)),GenBank,set:43a8be0cf76ad2009d1612c7931b54e804c30736,"Eshaghi,A., Shalhoub,S., Rosenfeld,P., Li,A., Higgins,R.R., Stogios,P.J., Savchenko,A., Bastien,N., Li,Y., Rotstein,C., Gubbay,J.B.","Ontario Agency for Health Protection and Promotion, Molecular Research",Canada,2014-10-02,,Alphainfluenzavirus influenzae,1701,complete,Canada: Ontario,,Homo sapiens,,2013-03-03
KJ734746.1,Influenza A virus (A/Ontario/C6633-8/2013(H3N2)),GenBank,set:7bc4cd21931704a4dfb820bc43ddcf9111e620d6,"Eshaghi,A., Shalhoub,S., Rosenfeld,P., Li,A., Higgins,R.R., Stogios,P.J., Savchenko,A., Bastien,N., Li,Y., Rotstein,C., Gubbay,J.B.","Ontario Agency for Health Protection and Promotion, Molecular Research",Canada,2014-10-02,,Alphainfluenzavirus influenzae,1701,complete,Canada: Ontario,,Homo sapiens,,2013-03-16
KJ734747.1,Influenza A virus (A/Ontario/C7065-9/2013(H3N2)),GenBank,set:a16e7c831997923c29c3405169080de6bb280425,"Eshaghi,A., Shalhoub,S., Rosenfeld,P., Li,A., Higgins,R.R., Stogios,P.J., Savchenko,A., Bastien,N., Li,Y., Rotstein,C., Gubbay,J.B.","Ontario Agency for Health Protection and Promotion, Molecular Research",Canada,2014-10-02,,Alphainfluenzavirus influenzae,1701,complete,Canada: Ontario,,Homo sapiens,,2013-03-19
KJ734748.1,Influenza A virus (A/Ontario/C8308-10/2013(H3N2)),GenBank,set:302d339fb74d0dc91c323685b8245264a22d0a3a,"Eshaghi,A., Shalhoub,S., Rosenfeld,P., Li,A., Higgins,R.R., Stogios,P.J., Savchenko,A., Bastien,N., Li,Y., Rotstein,C., Gubbay,J.B.","Ontario Agency for Health Protection and Promotion, Molecular Research",Canada,2014-10-02,,Alphainfluenzavirus influenzae,1701,complete,Canada: Ontario,,Homo sapiens,,2013-03-25
KJ734749.1,Influenza A virus (A/Ontario/C1823-11/2013(H3N2)),GenBank,set:fb8948fab11c8935ec94b05da58996daa8755141,"Eshaghi,A., Shalhoub,S., Rosenfeld,P., Li,A., Higgins,R.R., Stogios,P.J., Savchenko,A., Bastien,N., Li,Y., Rotstein,C., Gubbay,J.B.","Ontario Agency for Health Protection and Promotion, Molecular Research",Canada,2014-10-02,,Alphainfluenzavirus influenzae,1701,complete,Canada: Ontario,,Homo sapiens,,2013-07-05
KJ452354.1,Influenza A virus (A/Beijing/13-75/2014(H1N1)),GenBank,set:040591404c9b0923a5af6b925a34b61f0cdfa0d8,"Fang,Q., Gao,Y.","Peking University People's Hospital, Department of Infectious Disease",China,2014-10-01,,Alphainfluenzavirus influenzae,1410,complete,China,,Homo sapiens,oronasopharynx,2014-01-03
KJ452355.1,Influenza A virus (A/Beijing/14-2/2014(H1N1)),GenBank,set:7f073aabddb02ceacbe71f5d7705ac61e88ed817,"Fang,Q., Gao,Y.","Peking University People's Hospital, Department of Infectious Disease",China,2014-10-01,,Alphainfluenzavirus influenzae,1410,complete,China,,Homo sapiens,oronasopharynx,2014-01-07
KJ452356.1,Influenza A virus (A/Beijing/14-131/2014(H1N1)),GenBank,set:1a27e103572acaad21f4fac7903d9caa77547e33,"Fang,Q., Gao,Y.","Peking University People's Hospital, Department of Infectious Disease",China,2014-10-01,,Alphainfluenzavirus influenzae,1410,complete,China,,Homo sapiens,oronasopharynx,2014-01-22
KM023140.1,salivirus A2,GenBank,set:KM023140,"Yu,J.M., Ao,Y.Y., Liu,N., Li,L.L., Duan,Z.J., Yu,J.-M., Duan,Z.-J.","Institution for Viral Disease Control and Prevention, Department of Viral Diarrhea",China,2014-09-24,SaliV-FHB,Salivirus A,7998,complete,China,,Homo sapiens,,2011
KM374039.1,Influenza A virus (A/Zhejiang/LS01/2014(H7N9)),GenBank,GCA_038717575.1,"Lei,Y.L., Wang,X.G., Mao,H.Y.","Centers for Disease Control and Prevention of Lishui, Department of Inspection",China,2014-09-20,,Alphainfluenzavirus influenzae,2280,complete,China,,Homo sapiens,oronasopharynx,2014-02-08
KM085343.1,Human papillomavirus 197,GenBank,set:KM085343,"Arroyo Muhr,L.S., Hultin,E., Bzhalava,D., Eklund,C., Lagheden,C., Ekstrom,J., Johansson,H., Forslund,O., Dillner,J.","Karolinska Institutet, Laboratory Medicine",Sweden,2014-09-10,SE46,Gammapapillomavirus 24,7278,complete,Sweden,,Homo sapiens,,2014
KF849738.1,Influenza A virus (A/Thailand/SirirajICRC_CBI_2/2009(H1N1)),GenBank,set:8e7daf7f0b46b5b13a75f9442f5017cd3ff3b6b6,"Rattanarojpong,T., Wongprompitak,P., Pooruk,P., Lerdsamran,H., Phawong,C., Tassaneetrithep,B., Kongyu,S., Iamsirithaworn,S., Puthavathana,P.","King's Mongkut University of Technology Thonburi, Microbiolgy",Thailand,2014-08-29,,Alphainfluenzavirus influenzae,1410,complete,Thailand,,Homo sapiens,oronasopharynx,2009-06-23
KF849739.1,Influenza A virus (A/Thailand/SirirajICRC_CBI_3/2009(H1N1)),GenBank,set:6e969334e8718b172f9120bb4d0ea5be2fdd8ee4,"Rattanarojpong,T., Wongprompitak,P., Pooruk,P., Lerdsamran,H., Phawong,C., Tassaneetrithep,B., Kongyu,S., Iamsirithaworn,S., Puthavathana,P.","King's Mongkut University of Technology Thonburi, Microbiolgy",Thailand,2014-08-29,,Alphainfluenzavirus influenzae,1410,complete,Thailand,,Homo sapiens,oronasopharynx,2009-06-23
KF849740.1,Influenza A virus (A/Thailand/SirirajICRC_CBI_4/2009(H1N1)),GenBank,set:0d6435e0528f6550b755776b487fbdd8e18ceb4d,"Rattanarojpong,T., Wongprompitak,P., Pooruk,P., Lerdsamran,H., Phawong,C., Tassaneetrithep,B., Kongyu,S., Iamsirithaworn,S., Puthavathana,P.","King's Mongkut University of Technology Thonburi, Microbiolgy",Thailand,2014-08-29,,Alphainfluenzavirus influenzae,1410,complete,Thailand,,Homo sapiens,oronasopharynx,2009-06-23
